t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,48.94156258827028,0.04343601000048673,0.08520906935330089,99.08378969370564,1.9576625035308113e-13,5.621471425774859e-16,1.7374404000194693e-16,3.4083627741320357e-16,4.8854731361976355e-15,ACBI1,9.26,36000.0,360,180,10,360,23.29951810515372
6.0,0.0005,0.0,45.8005027288286,0.04441277287948474,0.09442605868955349,99.42655481475406,1.832020109153144e-13,5.825972986204988e-16,1.7765109151793896e-16,3.7770423475821397e-16,4.888354317924514e-15,ACBI1,9.26,36000.0,360,180,10,360,28.11768697974228
6.0,0.0005,0.0,41.851952156958625,0.043964581516986886,0.10140076342618136,99.13459987925924,1.6740780862783448e-13,5.773501192831374e-16,1.7585832606794756e-16,4.056030537047254e-16,4.891780466830901e-15,ACBI1,9.26,36000.0,360,180,10,360,33.93221771895326
6.0,0.0005,0.0,37.24718823123273,0.04203557964822275,0.10508560587362624,99.46690790828937,1.489887529249309e-13,5.449333195949969e-16,1.6814231859289101e-16,4.203424234945049e-16,4.895608103143138e-15,ACBI1,9.26,36000.0,360,180,10,360,40.94915062380423
6.0,0.0005,0.0,32.264477091703455,0.03880704347688803,0.10488975633832996,88.62014868473,1.2905790836681384e-13,4.892024322295207e-16,1.552281739075521e-16,4.195590253533199e-16,4.899510672974275e-15,ACBI1,9.26,36000.0,360,180,10,360,49.417133613238335
6.0,0.0005,0.0,27.247182709404587,0.03466295016575701,0.10089620893901094,99.6653394307664,1.0898873083761835e-13,4.18365037146691e-16,1.3865180066302807e-16,4.0358483575604376e-16,4.903027482453956e-15,ACBI1,9.26,36000.0,360,180,10,360,59.63623316594643
6.0,0.0005,0.0,22.519553135628286,0.03008551809154711,0.09383634446563681,99.71405668434356,9.007821254251314e-14,3.4233066325247446e-16,1.2034207236618843e-16,3.753453778625473e-16,4.905696756373731e-15,ACBI1,9.26,36000.0,360,180,10,360,71.96856730011514
6.0,0.0005,0.0,18.317981471643037,0.02553041885342173,0.0848356862375761,99.81922250983811,7.327192588657215e-14,2.698033070349611e-16,1.0212167541368693e-16,3.3934274495030443e-16,4.907207661542887e-15,ACBI1,9.26,36000.0,360,180,10,360,86.85113737513521
6.0,0.0005,0.0,14.7624915982377,0.02133605303709041,0.07507255841556226,98.03980489586391,5.904996639295081e-14,2.06474499642862e-16,8.534421214836164e-17,3.0029023366224904e-16,4.907487011860012e-15,ACBI1,9.26,36000.0,360,180,10,360,104.81131341546853
6.0,0.0005,0.0,11.86810472675382,0.017692243883378398,0.06550932303199941,99.75049169417089,4.747241890701528e-14,1.5474522248181017e-16,7.07689755335136e-17,2.6203729212799766e-16,4.906683881660083e-15,ACBI1,9.26,36000.0,360,180,10,360,126.48552168552958
6.0,0.0005,0.0,9.578395714644497,0.014658827596135977,0.056773927288153565,99.60682794337012,3.831358285857799e-14,1.1451118271262924e-16,5.86353103845439e-17,2.2709570915261426e-16,4.905081814813716e-15,ACBI1,9.26,36000.0,360,180,10,360,152.6417967175232
6.0,0.0005,0.0,7.801756111070538,0.012207721699999258,0.049173828689020885,99.80355244696166,3.120702444428215e-14,8.42685621998898e-17,4.883088679999703e-17,1.9669531475608354e-16,4.902997343814358e-15,ACBI1,9.26,36000.0,360,180,10,360,184.20699693267144
6.0,0.0005,0.0,6.438861012266014,0.010265237946012785,0.04277889446226113,99.84728000719515,2.5755444049064058e-14,6.202716380780898e-17,4.1060951784051145e-17,1.7111557784904454e-16,4.9007074511041784e-15,ACBI1,9.26,36000.0,360,180,10,360,222.29964825261933
