t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,1.0852994251266888,0.002970725207985108,0.18158379271403535,99.83267506942408,4.341197700506755e-15,2.2726842213029006e-17,1.1882900831940431e-17,7.263351708561414e-16,5.598888085639591e-15,ACBI1,0.1,36000.0,360,35.111917342151344
6.0,0.0005,0.0,1.0559238093844752,0.0028866509180168892,0.18896229829379432,99.81391430217992,4.223695237537901e-15,2.1546250444609387e-17,1.1546603672067557e-17,7.558491931751773e-16,5.664238334829847e-15,ACBI1,0.1,36000.0,360,38.535285937105314
6.0,0.0005,0.0,1.0292910673639388,0.0028092438355542862,0.19683065608269013,99.8821171681835,4.1171642694557554e-15,2.0447334703048736e-17,1.1236975342217145e-17,7.873226243307606e-16,5.734497448118802e-15,ACBI1,0.1,36000.0,360,42.29242874389499
6.0,0.0005,0.0,1.0052647038261873,0.002737917894440297,0.20520951889156755,99.86585630139851,4.021058815304749e-15,1.9422272869260287e-17,1.0951671577761188e-17,8.208380755662703e-16,5.80945182379199e-15,ACBI1,0.1,36000.0,360,46.41588833612782
6.0,0.0005,0.0,0.9837197097093338,0.0026721166458283747,0.2141129492875437,99.88940048493268,3.934878838837335e-15,1.846346785218841e-17,1.06884665833135e-17,8.564517971501747e-16,5.888782326821665e-15,ACBI1,0.1,36000.0,360,50.9413801481638
6.0,0.0005,0.0,0.9645374139772676,0.0026113124810070707,0.2235464249573323,99.89763694124589,3.8581496559090705e-15,1.756357864521714e-17,1.0445249924028283e-17,8.941856998293292e-16,5.972069272454055e-15,ACBI1,0.1,36000.0,360,55.90810182512229
6.0,0.0005,0.0,0.9476012968929179,0.002555008126084335,0.2335051552325828,99.89839968980098,3.790405187571672e-15,1.6715592634823298e-17,1.0220032504337339e-17,9.340206209303313e-16,6.058802752079646e-15,ACBI1,0.1,36000.0,360,61.35907273413176
6.0,0.0005,0.0,0.9327938084810293,0.0025027395267510372,0.2439728731986785,99.89202217981632,3.731175233924118e-15,1.5912924131433602e-17,1.0010958107004149e-17,9.75891492794714e-16,6.148397635147442e-15,ACBI1,0.1,36000.0,360,67.34150657750828
6.0,0.0005,0.0,0.9199941809827864,0.0024540791845319597,0.2549212236265481,99.89182610661338,3.679976723931146e-15,1.5149522375653874e-17,9.816316738127839e-18,1.0196848945061925e-15,6.240212143238761e-15,ACBI1,0.1,36000.0,360,73.90722033525783
6.0,0.0005,0.0,0.9090772401605971,0.0024086392752864314,0.2663098274372593,99.90391783739537,3.636308960642389e-15,1.4419973862251773e-17,9.634557101145726e-18,1.0652393097490372e-15,6.333568651955615e-15,ACBI1,0.1,36000.0,360,81.11308307896873
6.0,0.0005,0.0,0.899913100886341,0.0023660738425154023,0.2780870192265594,99.89056900419274,3.5996524035453645e-15,1.3719584660993929e-17,9.46429537006161e-18,1.1123480769062374e-15,6.427775219818814e-15,ACBI1,0.1,36000.0,360,89.02150854450393
6.0,0.0005,0.0,0.8923676626751362,0.0023260797842854595,0.29019121094900957,99.7719272512574,3.5694706507005454e-15,1.3044433412751481e-17,9.304319137141839e-18,1.1607648437960384e-15,6.522146456591577e-15,ACBI1,0.1,36000.0,360,97.70099572992257
6.0,0.0005,0.0,0.8863037245788846,0.0022883963970519437,0.3025527626200576,99.89901563359986,3.5452148983155388e-15,1.2391389008542117e-17,9.153585588207775e-18,1.2102110504802303e-15,6.616022505700155e-15,ACBI1,0.1,36000.0,360,107.22672220103243
6.0,0.0005,0.0,0.8815839463553697,0.0022528074218545104,0.31509675179764096,99.90119874812797,3.526335785421479e-15,1.1758112229095035e-17,9.011229687418041e-18,1.2603870071905639e-15,6.708786735161227e-15,ACBI1,0.1,36000.0,360,117.68119524349991
6.0,0.0005,0.0,0.8780670981632783,0.0022191224028887853,0.32774325318696057,99.90609200147289,3.5122683926531132e-15,1.1142922613910647e-17,8.876489611555141e-18,1.3109730127478425e-15,6.799872598038841e-15,ACBI1,0.1,36000.0,360,129.1549665014884
6.0,0.0005,0.0,0.8756183018706385,0.0021871960125809404,0.3404129372868229,99.92609935537308,3.5024732074825537e-15,1.0544843172125108e-17,8.748784050323761e-18,1.3616517491472917e-15,6.888781755432744e-15,ACBI1,0.1,36000.0,360,141.7474162926806
6.0,0.0005,0.0,0.874105385128268,0.0021569080206098163,0.35302730899665824,99.90894410771067,3.496421540513072e-15,9.963419772405469e-18,8.627632082439265e-18,1.412109235986633e-15,6.9750838998694015e-15,ACBI1,0.1,36000.0,360,155.56761439304722
6.0,0.0005,0.0,0.8734019364645885,0.0021281623291383423,0.36551128121621224,99.90764367920478,3.493607745858354e-15,9.398633619622339e-18,8.512649316553369e-18,1.462045124864849e-15,7.0584206527196925e-15,ACBI1,0.1,36000.0,360,170.7352647470692
6.0,0.0005,0.0,0.8733887309917201,0.002100882204463229,0.37779490661994797,99.90457374949489,3.49355492396688e-15,8.850790375357563e-18,8.403528817852915e-18,1.511179626479792e-15,7.13850519076914e-15,ACBI1,0.1,36000.0,360,187.3817422860385
6.0,0.0005,0.0,0.873954844729168,0.0020750057953973222,0.3898147299440924,99.90991599754831,3.495819378916672e-15,8.320413693443919e-18,8.30002318158929e-18,1.5592589197763696e-15,7.215119578651571e-15,ACBI1,0.1,36000.0,360,205.65123083486534
6.0,0.0005,0.0,0.8749984385845452,0.002050482111680353,0.40151474671939485,99.90505531326409,3.499993754338181e-15,7.80814849384087e-18,8.201928446721413e-18,1.6060589868775794e-15,7.288110353508286e-15,ACBI1,0.1,36000.0,360,225.70197196339214
6.0,0.0005,0.0,0.8764272185899307,0.0020272675685023005,0.4128469821100097,99.66591301965299,3.5057088743597228e-15,7.314677554366205e-18,8.109070274009201e-18,1.6513879284400388e-15,7.357382886704171e-15,ACBI1,0.1,36000.0,360,247.70763559917114
6.0,0.0005,0.0,0.878158598133467,0.0020053231431943993,0.4237717242138663,99.91199185010055,3.5126343925338682e-15,6.840653338587145e-18,8.021292572777597e-18,1.695086896855465e-15,7.422894994715898e-15,ACBI1,0.1,36000.0,360,271.85882427329426
6.0,0.0005,0.0,0.880119600631527,0.001984612141302593,0.4342574596937194,99.90639833316189,3.520478402526108e-15,6.386645549591302e-18,7.938448565210373e-18,1.7370298387748779e-15,7.484650200716797e-15,ACBI1,0.1,36000.0,360,298.364724028334
6.0,0.0005,0.0,0.8822465479920428,0.0019650985331166595,0.44428056659668946,99.91603020419684,3.5289861919681714e-15,5.953103781592536e-18,7.860394132466637e-18,1.777122266386758e-15,7.54269097076429e-15,ACBI1,0.1,36000.0,360,327.4549162877732
6.0,0.0005,0.0,0.8844845823273667,0.0019467457979216,0.4538248208090874,99.91104856188647,3.537938329309467e-15,5.540333853740156e-18,7.786983191686402e-18,1.81529928323635e-15,7.59709217187046e-15,ACBI1,0.1,36000.0,360,359.3813663804629
6.0,0.0005,0.0,0.8867870668505324,0.0019295162002625373,0.46288077010849005,99.90829319183622,3.5471482674021296e-15,5.148485930909222e-18,7.71806480105015e-18,1.8515230804339603e-15,7.647954928947265e-15,ACBI1,0.1,36000.0,360,394.420605943766
6.0,0.0005,0.0,0.8891149078602537,0.0019133704182355833,0.4714450245184707,99.91299141683612,3.556459631441015e-15,4.77755231743848e-18,7.653481672942333e-18,1.885780098073883e-15,7.695400996677956e-15,ACBI1,0.1,36000.0,360,432.87612810830615
6.0,0.0005,0.0,0.8914358341969362,0.0018982674459835304,0.47951950480376443,99.90526161369276,3.565743336787745e-15,4.4273727937563386e-18,7.593069783934122e-18,1.918078019215058e-15,7.739567712045639e-15,ACBI1,0.1,36000.0,360,475.0810162102798
6.0,0.0005,0.0,0.893723664351798,0.001884164699067587,0.4871106834046175,99.90933915141717,3.574894657407192e-15,4.09764549387789e-18,7.536658796270347e-18,1.94844273361847e-15,7.780603553533764e-15,ACBI1,0.1,36000.0,360,521.400828799969
