t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,53.11705957018952,0.03435832043939094,0.054035757510416456,99.1077777538088,2.1246823828075807e-13,1.4127768857110528e-16,1.3743328175756375e-16,2.1614303004166583e-16,4.879698986709957e-15,ACBI1,9.26,36000.0,360,500,360,360,13.257113655901081
6.0,0.0005,0.0,51.735564690469126,0.037530231564237786,0.06318825528170441,99.04828216179413,2.069422587618765e-13,1.5875314313804822e-16,1.5012092625695114e-16,2.527530211268176e-16,4.881233033304001e-15,ACBI1,9.26,36000.0,360,500,360,360,15.998587196060573
6.0,0.0005,0.0,49.72784948424316,0.04011454974555199,0.07268922099508401,98.99807249461595,1.9891139793697263e-13,1.7350141349774033e-16,1.6045819898220794e-16,2.907568839803361e-16,4.8831453489216135e-15,ACBI1,9.26,36000.0,360,500,360,360,19.306977288832496
6.0,0.0005,0.0,46.97851140895455,0.04177827593180805,0.08181675880541307,99.27709242521969,1.8791404563581823e-13,1.8322313091811478e-16,1.6711310372723222e-16,3.272670352216523e-16,4.885524991044569e-15,ACBI1,9.26,36000.0,360,500,360,360,23.29951810515372
6.0,0.0005,0.0,43.44925735049009,0.04222856314913622,0.08961621983784941,97.93350653880891,1.7379702940196038e-13,1.858279434769562e-16,1.6891425259654488e-16,3.5846487935139765e-16,4.888425269441733e-15,ACBI1,9.26,36000.0,360,500,360,360,28.11768697974228
6.0,0.0005,0.0,39.21865666039792,0.04130047482226352,0.09507062261239987,99.56698009213443,1.5687462664159166e-13,1.801358786880493e-16,1.6520189928905408e-16,3.802824904495995e-16,4.891803474981377e-15,ACBI1,9.26,36000.0,360,500,360,360,33.93221771895326
6.0,0.0005,0.0,34.49174393353417,0.039027618991723426,0.09737053546119397,99.1812640472429,1.3796697573413666e-13,1.664319379282118e-16,1.561104759668937e-16,3.894821418447759e-16,4.895465768680125e-15,ACBI1,9.26,36000.0,360,500,360,360,40.94915062380423
6.0,0.0005,0.0,29.56601812377244,0.03565592358786227,0.09617913963877375,99.63476378849245,1.1826407249508978e-13,1.4653080124439124e-16,1.426236943514491e-16,3.8471655855509505e-16,4.899061636264924e-15,ACBI1,9.26,36000.0,360,500,360,360,49.417133613238335
6.0,0.0005,0.0,24.76313888920728,0.031585128938884995,0.09175641365882327,90.1725329225203,9.905255555682911e-14,1.2324848497521555e-16,1.2634051575553997e-16,3.6702565463529305e-16,4.90215728433463e-15,ACBI1,9.26,36000.0,360,500,360,360,59.63623316594643
6.0,0.0005,0.0,20.355590023912317,0.027262259740648054,0.08487027081117986,99.71812938356567,8.142236009564927e-14,9.953804729920448e-17,1.0904903896259221e-16,3.3948108324471945e-16,4.904366581894626e-15,ACBI1,9.26,36000.0,360,500,360,360,71.96856730011514
6.0,0.0005,0.0,16.518686911893216,0.02307607795488069,0.07654427258588532,99.77388553854381,6.607474764757286e-14,7.77265793977618e-17,9.230431181952276e-17,3.061770903435413e-16,4.905472012776469e-15,ACBI1,9.26,36000.0,360,500,360,360,86.85113737513521
6.0,0.0005,0.0,13.320825570449578,0.0192933154392015,0.06777412575216252,99.45480770710313,5.328330228179832e-14,5.915608587852332e-17,7.7173261756806e-17,2.7109650300865006e-16,4.905472426026316e-15,ACBI1,9.26,36000.0,360,500,360,360,104.81131341546853
6.0,0.0005,0.0,10.744174495510357,0.016047548331873388,0.0593313730352686,99.7420571436874,4.297669798204143e-14,4.4241552502667006e-17,6.419019332749355e-17,2.3732549214107443e-16,4.904545481578681e-15,ACBI1,9.26,36000.0,360,500,360,360,126.48552168552958
6.0,0.0005,0.0,8.718096394996405,0.013365256682619099,0.05169518750091832,99.70627797777118,3.487238557998562e-14,3.276130199811195e-17,5.34610267304764e-17,2.0678075000367327e-16,4.902962198505279e-15,ACBI1,9.26,36000.0,360,500,360,360,152.6417967175232
6.0,0.0005,0.0,7.15012469002246,0.011205324884606427,0.045083082506410896,99.80492324950241,2.8600498760089846e-14,2.417749376763279e-17,4.482129953842571e-17,1.803323300256436e-16,4.901002644404877e-15,ACBI1,9.26,36000.0,360,500,360,360,184.20699693267144
6.0,0.0005,0.0,5.947318095852804,0.009494544397574283,0.03952645972443434,99.70186909460271,2.3789272383411218e-14,1.7873402749738148e-17,3.7978177590297134e-17,1.5810583889773736e-16,4.8989016756557884e-15,ACBI1,9.26,36000.0,360,500,360,360,222.29964825261933
6.0,0.0005,0.0,5.027563732502145,0.008151991887610652,0.03494827955377253,99.80418176009545,2.011025493000858e-14,1.3285153995134462e-17,3.260796755044261e-17,1.3979311821509011e-16,4.896828258800605e-15,ACBI1,9.26,36000.0,360,500,360,360,268.26957952797244
6.0,0.0005,0.0,4.3235621555299,0.00710244885786607,0.031222425129074586,99.84133367466917,1.7294248622119603e-14,9.952925090889582e-18,2.840979543146428e-17,1.2488970051629834e-16,4.894887938257058e-15,ACBI1,9.26,36000.0,360,500,360,360,323.74575428176433
6.0,0.0005,0.0,3.782629544123026,0.0062819852560526985,0.02821119574923542,99.75370626372116,1.5130518176492105e-14,7.525856455807433e-18,2.5127941024210798e-17,1.128447829969417e-16,4.893136031798658e-15,ACBI1,9.26,36000.0,360,500,360,360,390.6939937054613
6.0,0.0005,0.0,3.364649758099511,0.0056389903688521415,0.025785269604697233,99.87325366704854,1.3458599032398046e-14,5.7466848890649615e-18,2.2555961475408567e-17,1.0314107841878892e-16,4.891592895951729e-15,ACBI1,9.26,36000.0,360,500,360,360,471.486636345739
6.0,0.0005,0.0,3.039546127557062,0.00513303484193426,0.023832175854251486,99.81504984819986,1.2158184510228247e-14,4.431076484615661e-18,2.053213936773704e-17,9.532870341700595e-17,4.890257006694858e-15,ACBI1,9.26,36000.0,360,500,360,360,568.9866029018293
6.0,0.0005,0.0,2.784928495615781,0.004732976754294334,0.022258265716475267,99.88542734833804,1.1139713982463125e-14,3.448505963640387e-18,1.893190701717734e-17,8.903306286590108e-17,4.8891146004553615e-15,ACBI1,9.26,36000.0,360,500,360,360,686.6488450042998
6.0,0.0005,0.0,2.5841500186932476,0.004415022275134728,0.020987509826746704,99.86888937636384,1.033660007477299e-14,2.706925977015195e-18,1.7660089100538912e-17,8.395003930698682e-17,4.888146109827849e-15,ACBI1,9.26,36000.0,360,500,360,360,828.6427728546843
